ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
600415.SH,sse,1703570,2026-04-21,2026-04-30,子公司义乌购起诉董事长违反忠实义务的案件，目前进展如何？公司董事会是否已就此事进行过专题讨论？是否会影响董事长与子公司的关系？&quot;,尊敬的投资者您好，感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1707613,2026-04-21,2026-04-30,请问美国启动的关税退税对贵公司有无正面影响，贵公司产品是否在退税范围内？,尊敬的投资者您好，关税退税对公司没有影响。感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1706420,2026-04-20,2026-04-30,公司经营发生了重大问题吗，股价这样一直在跌？为什么不回答问题？,尊敬的投资者您好，公司经营正常。感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1705729,2026-04-17,2026-04-30,董秘你好：看了公司的年报里面的管理层的薪水，管理层的薪水太低了，要大幅度提升管理层的薪水，在现有的基础上提升5倍以上。以及在二级市场增持公司股票。,尊敬的投资者您好，感谢您的建议。,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1704490,2026-04-16,2026-04-30,董秘您好，请问公司2025年4季度扣非归母净利润同比下跌28.44%的主要原因是什么？这种下跌的原因会持续出现吗？,尊敬的投资者您好，相关数据请查阅公司已披露的《2025年年度报告》。感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1704221,2026-04-16,2026-04-30,请问贵公司参与数据资产交易情况怎么样？有没有下属子公司在研发制造销售类似于labubu的IP文创产品?,尊敬的投资者您好，感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1703810,2026-04-15,2026-04-30,央视报道，临近世界杯，小商品城订单爆单，为何股价不升反降，谢谢,尊敬的投资者您好，股价波动受多种因素影响，公司经营正常，2026年第一季度归母净利润9.90亿元，同比增长23.29%。公司持续努力做好经营，积极为全体股东创造价值，感谢您对公司的关注！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1703701,2026-04-15,2026-04-30,董秘您好，公司在2025年Q4净利润增速较年内其他季度明显放缓，且Q4扣非净利润同比出现下滑，请问背后核心原因是什么？感谢您的解答,尊敬的投资者您好，相关数据请查阅公司已披露的《2025年年度报告》。感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1703550,2026-04-15,2026-04-30,尊敬的董秘：根据公司2025年年报第58页披露，公司向控股股东子公司商城物业支付的物业服务费及绿化养护费合计2.70亿元，占同类交易金额的83.35%。作为投资者，我有以下问题想请教：①为何公司83%以上的物业服务集中由控股股东旗下子公司承接，而不通过公开市场竞争选择服务商？②该等关联交易的定价机制是什么？是否与第三方市场报价进行过对比？③独立董事对该等关联交易公允性是否发表过专项意见？谢谢！,尊敬的投资者您好，商城物业通过参与公开招投标方式取得市场物业服务及绿化养护合同，公司与商城物业的关联交易定价遵循市场价原则，交易程序合法合规、定价公允合理，未损害公司及股东利益。感谢您对公司的关注！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
600415.SH,sse,1703574,2026-04-15,2026-04-30,公司在13个月内经历了两任董事长变动，均因‘组织上工作安排’离职。公司如何评估这种管理层变动对战略连续性的影响？是否有保障管理团队稳定的具体机制？,尊敬的投资者您好，董事长变动均因组织上工作安排原因，属于正常人事调整。公司董事会规范运作，相关变动不会影响公司正常经营和战略实施。感谢您对公司的关注！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://sns.sseinfo.com/company.do?stockcode=600415,sse_e_interaction
