ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
000528.SZ,szse,2272922102880649216,2026-05-21,2026-05-25,你好，国内LNG储罐（含核电）预应力系统及核电的超低温储罐系统，我司在国内是否有竞争对手？在全球排名中能排到TOP几？,您好！近几年，欧维姆已成为全球核电预应力锚固系统、LNG 超低温锚固系统领域的行业标杆与市场标杆（暂未有权威的全球排名），目前在该领域国内市场的竞争对手较少。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2272922102880649216,cninfo_irm
000528.SZ,szse,2272759693007192064,2026-05-20,2026-05-25,董秘在回复称公司会结合《市值管理制度》要求，在合规前提下多措并举引导公司价值实现，促进投资价值合理反映公司质量！在公司已完成两次回购，集团一次增持后，在一季度净利润下滑，转债可能强赎背景下，柳工还有什么有效举措可实施？,您好！根据公司《市值管理制度》要求，公司将综合考虑实际经营情况及市场变化等因素，运用包括但不限于股份回购、鼓励大股东增持、实施股权激励、优化分红方案、强化投资者关系管理等手段引导公司价值实现。谢谢！,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2272759693007192064,cninfo_irm
000528.SZ,szse,2272265187831144448,2026-05-20,2026-05-25,"尊敬的董秘您好，1：近期公司股价持续走弱，请问公司一季度/最新经营订单、海外业务、毛利率、现金流是否出现明显恶化？目前在手订单情况如何？
2. 面对行业周期，公司有无降本增效、控费、产能优化具体措施，预计何时能体现效果？
3. 海外业务占比逐年提升，当前海外市场是否受地缘、汇率影响？全年海外目标是否有下调风险？
4：公司现金流是否健康？未来是否考虑提高分红比例、中期分红、股份回购等方式稳定市场信心","您好！
1、 一季度公司生产经营稳健有序，订单饱满，剔除汇兑损失影响，整体收入及净利润均实现同比增长，具体情况请您关注公司的定期报告。
2、公司目前通过多维度精细化管理实现长期成本费用优化，在费用管控方面秉持“战略匹配、弹性管理”的原则，对关键领域倾斜资源，同时深化弹性预算管控模式，以精细化管理提升效率；在降本方面，公司始终坚持全价值链、全生命周期成本管理理念，在研发环节去除冗余功能、精简设计，在采购环节开发新供方、提前锁价及协同供方降本，在制造环节加速智能化转型，减少损耗。2026年公司已全面启动相关项目，推动成本管控向更深层次延申。
3. 公司业务涉及180余个国家和地区，地缘以及汇率风险是公司经营所面临的常态风险，目前国际局势波动较大的背景下地缘风险与汇率波动客观存在且难以预测，公司会积极的准备风险预案以及汇兑管理，尽一切可能降低相关影响。
4. 公司现金流稳健，正按计划推进2025年度分红派息相关工作。未来的分红比例变动以及股份回购等措施将公司将在综合考虑最终实际经营情况以及二级市场股价等因素后，履行相应的决策流程并规范披露。谢谢！",substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2272265187831144448,cninfo_irm
000528.SZ,szse,2272267670123823104,2026-05-20,2026-05-22,"尊敬的董秘你好：我是公司的一名投资者 5：大股东/高管近期是否有增持计划、维稳股价计划？
6. 近期股价持续大跌，市场传闻公司存在大额减值、坏账、业绩暴雷等问题，是否属实？请正面澄清。
7 公司应收账款、存货是否存在风险？有无大额计提减值可能？
8. 股价长期低迷，公司是否会加强机构沟通、业绩说明会、调研活动，向市场传递真实经营情况？",您好！请您理性看待市场传闻。公司上市30多年来，树立了良好的资本市场品牌形象。始终严格遵守信息披露规则，按相关规范要求及时履行信息披露义务，且在合规基础上加强与投资者的沟通，确保投资者及时、准确掌握公司经营信息。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2272267670123823104,cninfo_irm
000528.SZ,szse,2269298086805569536,2026-05-16,2026-05-21,"领导您好：
之前不了解柳工深入了解后发现我司有一个子公司OVM欧维姆，查询核电和LNG预应力市占率大于70%？累计有1100个专利？同类应力类产品市占率最低的也大于30%？还有3000Mpa的碳纤维拉锁产品？麻烦确认一下，有这么厉害？","您好！公司控股子公司柳州欧维姆机械股份有限公司是中国预应力行业的先行者和领跑者，主营业务涵盖预应力锚固体系、工程缆索体系等，产品和服务广泛应用于桥梁、建筑、风电、核电、光伏、水利等基础设施领域，参与了“中国天眼”FAST项目、港珠澳大桥、深中通道、南水北调工程等等超过3500项国内外重大工程。公司累计获1362件专利授权，其中287件发明专利。
欧维姆主要产品市场占有率居处于行业领先地位，其中预应力锚固体系、钢绞线拉索产品获评国家制造业单项冠军示范企业；核电预应力锚固体系成功打破国外产品垄断，用于核电的预应力锚固系统和用于LNG的低温预应力锚固系统市场占有率处于行业领先地位；自主研发的3000MPa的碳纤维拉索吊杆产品在青岛风河桥上实现了国内首次应用。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2269298086805569536,cninfo_irm
000528.SZ,szse,2270839662237253632,2026-05-18,2026-05-20,董秘您好，近期股价临近柳工转2强赎价，市场担忧触发强赎引发抛压。公司此前表示希望转债平稳自然转股、无意强赎。目前尚未满足强赎计数条件，请问公司是否计划提前发布“近期不强赎”公告，稳定预期、引导温和转股？,您好！关于公司是否行使可转债的赎回权利，需在满足一定条件后提交董事会审议决策。公司将密切关注资本市场动态，严格根据相关法律法规履行信息披露义务。谢谢！,directional-but-unquantified,unclassified,official interaction without a mapped investable theme,manual review required,medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2270839662237253632,cninfo_irm
000528.SZ,szse,2270790544991256576,2026-05-18,2026-05-20,请问公司有何具体举措解决应收账款高的问题？另外，公司已经跌破净资产 公司有何具体举措 进行市值管理 维护公司合理估值,您好！公司始终把优化资产质量当作公司的重要经营目标，近年来通过革新信用管理体系、优化减值评估机制、规范减值计提流程、强化减值后管理等多种方式，公司风险管理水平及资产质量得到全面提升。同时，公司也会结合《市值管理制度》要求，在合规前提下多措并举引导公司价值实现，促进投资价值合理反映公司质量。谢谢！,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2270790544991256576,cninfo_irm
000528.SZ,szse,2270634611888734208,2026-05-18,2026-05-20,您好，请问柳州市柳南区5.2级地震对柳工生产经营有影响吗？,您好！截至目前，公司自身未发现因地震原因造成的重大安全风险，整体生产经营秩序保持稳定。后续公司将严格落实24小时应急值守及常态化安全排查机制，保障研发、生产、销售和服务各环节平稳有序。地震发生后，公司始终牢记国企使命担当，主动履行社会责任，抽调应急抢险工程机械紧急驰援抗震一线，积极配合当地开展应急救援工作。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2270634611888734208,cninfo_irm
000528.SZ,szse,2269792111123824640,2026-05-16,2026-05-20,你好，请问我司是否参与了中国航天FAST(天眼)的锁网和骨架项目？据传锁具长度要求控制在1mm，我司技术储备是否支持做到这种航天级别的技术要求？另传闻我司新碳纤维锁具\索具也早已符合核电和航天级别的需求了？,您好！ 公司控股子公司柳州欧维姆机械股份有限公司承担了中国天眼（贵州平塘球面射电望远镜）项目索网系统全部拉索（合计 8895 根）的施工及监测工作。该项目拉索长度精度要求为 ±1mm，核心性能指标为 500MPa 疲劳应力幅，截至目前，市场上仍仅欧维姆具备相关研发能力。欧维姆对碳纤维索具开展长期研发，相关产品已应用于桥梁、场馆、风电、川藏线边坡锚固等领域；受天眼项目拉索特殊性能指标影响，当前市场暂无其他对应应用需求，新型碳纤维索具能否满足航天级应用要求，尚需通过进一步试验予以验证。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2269792111123824640,cninfo_irm
000528.SZ,szse,2268020050745712640,2026-05-14,2026-05-18,董秘您好，柳工装载机全系列有提价计划吗？还有柳工机械全系列电动化，无人化，智能化有否尽快研发，提速落地，在高油价的市场中抢占先机，实现弯道超车？,您好！感谢您的建议！公司积极倡导行业竞争避免恶性内卷，并通过不断改善为客户创造价值的产品和解决方案推动价格和毛利率的提升 。多年公司来围绕“电动化、智能化、数字化、无人化、互联化”等五化新技术保持了高强度的研发投入，取得了一系列突破性的研究成果。后续将根据市场需求以及对未来产业趋势研判有针对性的加大研发力度，持续提升综合竞争力。谢谢！,non-committal,unclassified,official interaction without a mapped investable theme,manual review required,weak-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2268020050745712640,cninfo_irm
000528.SZ,szse,2267056337195483136,2026-05-13,2026-05-18,你好，近期看到我司在数月内发布多款关于新能源电池与液冷散热的专利，请问目前我司所采用的液冷集成控制技术和新能源电池技术是否大多来自于我司自有技术？未来是否有计划单独成立新能源电池公司或液冷技术？是否未来考虑出售或者技术授权？,您好！目前公司采用的液冷集成控制技术和新能源电池技术均是自有技术，全资子公司柳工元象科技有限公司主要负责电池研发和制造。未来公司会根据合作伙伴以及市场的具体情况，考虑是否出售或授权。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2267056337195483136,cninfo_irm
000528.SZ,szse,2264213953721901056,2026-05-09,2026-05-14,你好，我司子公司广西智拓科技的主要业务是什么，进展如何？据说近年来业务额增加较为明显？,您好！广西智拓科技是柳工集团为了拓展机器人产业而设立的高新技术企业，公司主要产品为焊接、码垛、搬运等工业机器人集成系统及物流运输装备（AGV、RGV）。近年来随着业务拓展营收规模稳定增长，但因基数较小，对公司整体营收影响有限。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2264213953721901056,cninfo_irm
